sample_name,fq1_uri,fq2_uri,fq3_uri,library_type,cdna_read,umi_read,barcode_read
FCA10_Male_head_adult_5dWT_Luo_sample4_S1,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA10_Male_head_adult_5dWT_Luo_sample4_S1_L004_R1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA10_Male_head_adult_5dWT_Luo_sample4_S1_L004_R2_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA10_Male_head_adult_5dWT_Luo_sample4_S1_L004_I1_001.fastq.gz,10xV3,read 2,read 1,index 1
FCA11_Male_head_adult_5dWT_Luo_sample5_S2,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA11_Male_head_adult_5dWT_Luo_sample5_S2_L001_R1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA11_Male_head_adult_5dWT_Luo_sample5_S2_L001_R2_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA11_Male_head_adult_5dWT_Luo_sample5_S2_L001_I1_001.fastq.gz,10xV3,read 2,read 1,index 1
FCA11_Male_head_adult_5dWT_Luo_sample5_S2,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA11_Male_head_adult_5dWT_Luo_sample5_S2_L002_R1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA11_Male_head_adult_5dWT_Luo_sample5_S2_L002_R2_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA11_Male_head_adult_5dWT_Luo_sample5_S2_L002_I1_001.fastq.gz,10xV3,read 2,read 1,index 1
FCA11_Male_head_adult_5dWT_Luo_sample5_S2,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA11_Male_head_adult_5dWT_Luo_sample5_S2_L003_R1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA11_Male_head_adult_5dWT_Luo_sample5_S2_L003_R2_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA11_Male_head_adult_5dWT_Luo_sample5_S2_L003_I1_001.fastq.gz,10xV3,read 2,read 1,index 1
FCA11_Male_head_adult_5dWT_Luo_sample5_S2,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA11_Male_head_adult_5dWT_Luo_sample5_S2_L004_R1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA11_Male_head_adult_5dWT_Luo_sample5_S2_L004_R2_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA11_Male_head_adult_5dWT_Luo_sample5_S2_L004_I1_001.fastq.gz,10xV3,read 2,read 1,index 1
FCA12_Male_head_adult_5dWT_Luo_sample6_S3,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA12_Male_head_adult_5dWT_Luo_sample6_S3_L001_R1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA12_Male_head_adult_5dWT_Luo_sample6_S3_L001_R2_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA12_Male_head_adult_5dWT_Luo_sample6_S3_L001_I1_001.fastq.gz,10xV3,read 2,read 1,index 1
FCA12_Male_head_adult_5dWT_Luo_sample6_S3,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA12_Male_head_adult_5dWT_Luo_sample6_S3_L002_R1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA12_Male_head_adult_5dWT_Luo_sample6_S3_L002_R2_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA12_Male_head_adult_5dWT_Luo_sample6_S3_L002_I1_001.fastq.gz,10xV3,read 2,read 1,index 1
FCA12_Male_head_adult_5dWT_Luo_sample6_S3,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA12_Male_head_adult_5dWT_Luo_sample6_S3_L003_R1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA12_Male_head_adult_5dWT_Luo_sample6_S3_L003_R2_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA12_Male_head_adult_5dWT_Luo_sample6_S3_L003_I1_001.fastq.gz,10xV3,read 2,read 1,index 1
FCA12_Male_head_adult_5dWT_Luo_sample6_S3,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA12_Male_head_adult_5dWT_Luo_sample6_S3_L004_R1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA12_Male_head_adult_5dWT_Luo_sample6_S3_L004_R2_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA12_Male_head_adult_5dWT_Luo_sample6_S3_L004_I1_001.fastq.gz,10xV3,read 2,read 1,index 1
FCA14_Female_head_adult_5dWT_Luo_sample5_S5,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA14_Female_head_adult_5dWT_Luo_sample5_S5_L003_R1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA14_Female_head_adult_5dWT_Luo_sample5_S5_L003_R2_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA14_Female_head_adult_5dWT_Luo_sample5_S5_L003_I1_001.fastq.gz,10xV3,read 2,read 1,index 1
